date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2001-04-01,RUS,RUB,Russia,35,28.9,1.21107266435986,-0.45934,-0.46451,-0.57442,-0.48921,0.0129,3417.24928,1.60442919967484,-0.19483,-0.33054,-0.46287,-0.27083,-0.01141
2001-04-01,SGP,SGD,Singapore,3.3,1.81,1.8232044198895,-0.18607,-0.19384,-0.35931,-0.23103,0.52486,27912.7146666667,2.18893836648114,-0.11154,-0.26128,-0.4073,-0.19539,0.09086
2001-04-01,SWE,SEK,Sweden,24,10.28,2.33463035019455,0.04225,0.03229,-0.17959,-0.01533,0.9526,25309.6545333333,2.12682431860885,0.17091,-0.02644,-0.21888,0.0604,0.43765
2001-04-01,THA,THB,Thailand,55,45.5,1.20879120879121,-0.46036,-0.46552,-0.57522,-0.49017,0.01099,3279.92529454546,1.60115238386205,-0.1947,-0.33043,-0.46278,-0.27071,-0.01126
2001-04-01,TWN,TWD,Taiwan,70,32.9,2.12765957446809,-0.05015,-0.05922,-0.25232,-0.10262,0.7795,14836.75712,1.8769207366811,0.20919,0.00539,-0.19335,0.09506,0.48464
2001-04-01,USA,USD,United States,2.24,1,2.24,0,-0.00955,-0.21285,-0.05524,0.87345,36312.78,2.38938016710019,0,-0.16854,-0.3329,-0.09438,0.2278
2001-04-01,ZAF,ZAR,South Africa,9.7,8.13,1.19311193111931,-0.46736,-0.47245,-0.58073,-0.49678,-0.00212,5416.45624742268,1.65213414344119,-0.22968,-0.35951,-0.48611,-0.30238,-0.0542
2002-04-01,ARG,ARS,Argentina,2.5,3.13,0.798722044728435,-0.66012,-0.66388,-0.72319,-0.60369,-0.37015,7600.2384,1.858711261142,-0.54813,-0.61371,-0.67591,-0.4713,-0.40982
2002-04-01,AUS,AUD,Australia,3,1.86,1.61290322580645,-0.31366,-0.32125,-0.44103,-0.1997,0.27189,29516.2898333333,2.31366476012197,-0.26695,-0.37334,-0.47423,-0.14231,-0.04256
2002-04-01,BRA,BRL,Brazil,3.6,2.34,1.53846153846154,-0.34534,-0.35258,-0.46683,-0.23664,0.21319,4852.41708333333,1.80166946570763,-0.10208,-0.23239,-0.35598,0.05059,0.17278
2002-04-01,CAN,CAD,Canada,3.33,1.57,2.12101910828025,-0.09744,-0.10743,-0.26494,0.05241,0.67258,26079.3331831832,2.24231726129971,-0.00534,-0.14969,-0.2866,0.16378,0.29913
2002-04-01,CHE,CHF,Switzerland,6.3,1.66,3.79518072289157,0.61497,0.5971,0.31526,0.8831,1.99277,25080.6211904762,2.22158508164876,0.79637,0.53567,0.28842,1.1018,1.34624
2002-04-01,CHL,CLP,Chile,1400,655,2.13740458015267,-0.09047,-0.10053,-0.25926,0.06054,0.6855,4911.21778178572,1.80289010454327,0.24665,0.06572,-0.10586,0.45861,0.62825
2002-04-01,CHN,CNY,China,10.5,8.28,1.26811594202899,-0.46038,-0.46635,-0.56052,-0.37078,0,1961.52038095238,1.7416575801753,-0.23436,-0.34548,-0.45086,-0.10418,0
2002-04-01,CZE,CZK,Czech Republic,56.28,34,1.65529411764706,-0.29562,-0.30342,-0.42634,-0.17867,0.30532,10575.8605810235,1.92048195587764,-0.09366,-0.22519,-0.34994,0.06044,0.18377
2002-04-01,DNK,DKK,Denmark,24.75,8.38,2.95346062052506,0.25679,0.24288,0.02355,0.46546,1.32901,24358.1687272727,2.20658775072074,0.40746,0.2032,0.00948,0.64677,0.83829
2002-04-01,EUZ,EUR,Euro area,2.67,1.123595506,2.37629999919206,0.01119,0,-0.17647,0.17908,0.87388,20964.3292311569,2.13613531733277,0.16977,0,-0.16101,0.36866,0.52783
2002-04-01,GBR,GBP,Britain,1.99,0.689655172,2.8855000017313,0.22787,0.21428,0,0.43174,1.27542,22896.416080402,2.17624334842912,0.39425,0.1919,0,0.63131,0.82103
2002-04-01,HKG,HKD,Hong Kong,11.2,8,1.4,-0.40426,-0.41085,-0.51482,-0.30534,0.104,41187.45125,2.55594543462323,-0.42403,-0.50762,-0.58689,-0.32609,-0.24772
2002-04-01,HUN,HUF,Hungary,459,272,1.6875,-0.28191,-0.28986,-0.41518,-0.16269,0.33071,7736.48179520697,1.86153952651411,-0.04677,-0.18511,-0.31631,0.11531,0.24502
2002-04-01,IDN,IDR,Indonesia,16000,9430,1.69671261930011,-0.27799,-0.28599,-0.41199,-0.15812,0.33798,1257.099887875,1.72703457342367,0.03308,-0.11685,-0.25904,0.20873,0.34931
2002-04-01,ISR,ILS,Israel,12,4.79,2.50521920668058,0.06605,0.05425,-0.13179,0.24305,0.97554,17273.598625,2.05951974594797,0.27911,0.09347,-0.08258,0.49659,0.67064
2002-04-01,JPN,JPY,Japan,262,130,2.01538461538462,-0.14239,-0.15188,-0.30155,0,0.58927,37509.351620229,2.47959206863249,-0.14532,-0.26936,-0.38699,0,0.1163
2002-04-01,KOR,KRW,South Korea,3100,1304,2.37730061349693,0.01162,0.00042,-0.17612,0.17958,0.87467,11725.7643893548,1.94435271392373,0.28569,0.0991,-0.07786,0.50429,0.67924
2002-04-01,MEX,MXN,Mexico,21.9,9.28,2.35991379310345,0.00422,-0.0069,-0.18215,0.17095,0.86096,7921.89399543379,1.86538848304277,0.33031,0.13725,-0.04586,0.5565,0.73752
2002-04-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,-0.43561,-0.44186,-0.54035,-0.3419,0.04589,7422.26984126984,1.85501682655149,-0.24816,-0.35727,-0.46076,-0.12033,-0.01802
2002-04-01,NOR,NOK,Norway,35,8.56,4.08878504672897,0.73991,0.72065,0.41701,1.02879,2.2243,23275.9322,2.18412169216524,0.96854,0.68285,0.4119,1.30324,1.57111
2002-04-01,NZL,NZD,New Zealand,3.6,2.24,1.60714285714286,-0.31611,-0.32368,-0.44303,-0.20256,0.26735,21212.4643055556,2.14128633281842,-0.21076,-0.32531,-0.43394,-0.07657,0.03082
2002-04-01,PER,PEN,Peru,8.5,3.43,2.47813411078717,0.05453,0.04285,-0.14118,0.22961,0.95419,1852.19258823529,1.73938805356903,0.49815,0.28072,0.07452,0.75287,0.95674
2002-04-01,PHL,PHP,Philippines,65,51,1.27450980392157,-0.45766,-0.46366,-0.55831,-0.36761,0.00504,1850.87771538462,1.73936075823228,-0.22949,-0.34131,-0.44736,-0.09848,0.00637
2002-04-01,POL,PLN,Poland,5.9,4.04,1.46039603960396,-0.37855,-0.38543,-0.49388,-0.27538,0.15163,8158.39940677966,1.87029807931502,-0.17892,-0.29808,-0.41109,-0.03931,0.07242
